# Time   PolyLine_ID   Passnumber   U  V   R G B A

# MIT Coop

0  3025  0  0.383407  0.559452  1  1  1  1
0  3025  0  0.379973  0.533699  1  1  1  1
0  3025  0  0.448375  0.525049  1  1  1  1
0  3025  0  0.452807  0.559156  1  1  1  1
0  3025  0  0.4315  0.562039  1  1  1  1
0  3025  0  0.428226  0.536477  1  1  1  1
0  3025  0  0.385681  0.541744  1  1  1  1
0  4025  1  0.447064  0.587801  1  1  1  1
0  4025  1  0.447872  0.596301  1  1  1  1
0  4025  1  0.405157  0.601917  1  1  1  1
0  4025  1  0.404156  0.593578  1  1  1  1

# Green Building

0  26  0  0.22039  0.369337  1  1  1  1
0  26  0  0.228896  0.349314  1  1  1  1
0  26  0  0.272408  0.367702  1  1  1  1
0  26  0  0.263639  0.388263  1  1  1  1

# Original Media Lab

0  27  0  0.462953  0.490157  1  1  1  1
0  27  0  0.399704  0.46334  1  1  1  1
0  27  0  0.426909  0.398746  1  1  1  1
0  27  0  0.490128  0.426029  1  1  1  1

# Bio lab

0  28  0  0.315777  0.502617  1  1  1  1
0  28  0  0.326964  0.497991  1  1  1  1
0  28  0  0.345885  0.644702  1  1  1  1
0  28  0  0.334678  0.649169  1  1  1  1
0  1028  0  0.328849  0.505533  1  1  1  1
0  1028  0  0.338324  0.504342  1  1  1  1
0  1028  0  0.34152  0.531286  1  1  1  1
0  1028  0  0.340655  0.531328  1  1  1  1
0  1028  0  0.342237  0.540186  1  1  1  1
0  1028  0  0.346664  0.53973  1  1  1  1
0  1028  0  0.354318  0.602008  1  1  1  1
0  1028  0  0.352675  0.602248  1  1  1  1
0  1028  0  0.353946  0.611506  1  1  1  1
0  1028  0  0.356195  0.61129  1  1  1  1
0  1028  0  0.359131  0.637786  1  1  1  1
0  1028  0  0.345748  0.639401  1  1  1  1
0  2028  0  0.333267  0.641132  1  1  1  1
0  2028  0  0.323237  0.642534  1  1  1  1
0  2028  0  0.320148  0.615646  1  1  1  1
0  2028  0  0.321912  0.61546  1  1  1  1
0  2028  0  0.321043  0.60627  1  1  1  1
0  2028  0  0.318623  0.606443  1  1  1  1
0  2028  0  0.310865  0.544403  1  1  1  1
0  2028  0  0.313019  0.544185  1  1  1  1
0  2028  0  0.312051  0.534866  1  1  1  1
0  2028  0  0.305628  0.535407  1  1  1  1
0  2028  0  0.302727  0.509236  1  1  1  1
0  2028  0  0.316101  0.507318  1  1  1  1
0  3028  0  0.304128  0.508697  1  1  1  1
0  3028  0  0.303226  0.504243  1  1  1  1
0  3028  0  0.326676  0.494847  1  1  1  1
0  3028  0  0.329048  0.493928  1  1  1  1
0  3028  0  0.331773  0.494303  1  1  1  1
0  3028  0  0.33311  0.496953  1  1  1  1
0  3028  0  0.334774  0.504482  1  1  1  1
0  3028  0  0.32823  0.505348  1  1  1  1
0  3028  0  0.327138  0.497817  1  1  1  1
0  3028  0  0.315575  0.502557  1  1  1  1
0  3028  0  0.316008  0.507076  1  1  1  1
