# This interpolated & filtered version of the aircraft's GPS/IMU
# information was generated with a time constant tau=1/video_PRF=0.04166 sec


# Img  Rel time       Rel_x  	 Rel_y	     Rel_z       Roll 	      Pitch        Yaw

 196    8.166667   -47342.95    2290.118    2990.883   -0.8125023    3.174595    -161.6415   
 197    8.208333   -47341.31    2284.922    2990.844   -0.8149797    3.176818      -161.64   
 198        8.25   -47339.69     2279.79    2990.805   -0.8184436    3.179204    -161.6378   
 199    8.291667   -47338.04    2274.574    2990.766   -0.8219323    3.181392    -161.6366   
 200    8.333333   -47336.42    2269.428    2990.727   -0.8243974    3.183735    -161.6364   
 201       8.375    -47334.8    2264.277    2990.689   -0.8264324    3.186249    -161.6362   
 202    8.416667   -47333.22    2259.269    2990.653   -0.8273878    3.189103    -161.6352   
 203    8.458333   -47331.69    2254.422    2990.617   -0.8269055    3.191818    -161.6332   
 204         8.5   -47330.01    2249.099    2990.579   -0.8272573    3.194262    -161.6315   
 205    8.541667   -47328.18    2243.292     2990.54   -0.8286584    3.196538    -161.6306   
 206    8.583333   -47326.44    2237.758      2990.5   -0.8296059     3.19899    -161.6291   
 207       8.625   -47324.81    2232.599    2990.462   -0.8308905    3.202458    -161.6269   
 208    8.666667   -47323.17    2227.392    2990.422   -0.8330686    3.205949    -161.6256   
 209    8.708333   -47321.54     2222.24    2990.383   -0.8345977    3.208429    -161.6246   
 210        8.75   -47319.92    2217.085    2990.346   -0.8349715    3.210647    -161.6228   
 211    8.791667   -47318.33    2212.069     2990.31   -0.8349555    3.212577    -161.6208   
 212    8.833333    -47316.8    2207.227    2990.273   -0.8349651    3.214124    -161.6193   
 213       8.875    -47315.2    2202.152    2990.238   -0.8354873    3.216201    -161.6172   
 214    8.916667   -47313.56    2196.965    2990.201   -0.8372141      3.2185    -161.6149   
 215    8.958333   -47311.93    2191.804    2990.142   -0.839335    3.220952    -161.6124   
 216           9   -47310.29    2186.565    2990.065   -0.8403251    3.224421     -161.609   
 217    9.041667   -47308.67    2181.419    2990.005   -0.8405119    3.227903    -161.6055   
 218    9.083333   -47307.03    2176.217    2989.962   -0.8412203    3.230398     -161.603   
 219       9.125   -47305.36    2170.943    2989.924   -0.8431142    3.233385    -161.6005   
 220    9.166667   -47303.64    2165.518    2989.888   -0.8450014    3.237535    -161.5977   
 221    9.208333   -47301.95    2160.146    2989.852   -0.8458091     3.24106    -161.5949   
 222        9.25   -47300.29    2154.897    2989.813   -0.845953    3.243674    -161.5925   
 223    9.291667   -47298.65    2149.715    2989.774   -0.8456111    3.245958    -161.5902   
 224    9.333333   -47297.02    2144.568    2989.736   -0.8441477      3.2484    -161.5878   
 225       9.375   -47295.37    2139.351    2989.696   -0.8418404    3.251869    -161.5856   
 226    9.416667   -47293.75    2134.213    2989.658   -0.8395869    3.255314    -161.5833   
 227    9.458333    -47292.1    2129.017    2989.618   -0.8365341    3.257092     -161.581   
 228         9.5   -47290.51    2123.994     2989.58   -0.8319608    3.257601    -161.5786   
 229    9.541667   -47288.99    2119.165    2989.544   -0.8262763    3.258595    -161.5757   
 230    9.583333   -47287.38    2114.107    2989.512   -0.8207103    3.261342    -161.5721   
 231       9.625   -47285.75    2108.951    2989.482   -0.8158654    3.265027    -161.5683   
 232    9.666667   -47284.11     2103.78    2989.447   -0.8112955    3.267893    -161.5654   
 233    9.708333   -47282.46    2098.571    2989.407   -0.8067198    3.270361    -161.5632   
 234        9.75   -47280.84    2093.438    2989.369   -0.802146    3.273805    -161.5608   
 235    9.791667   -47279.19    2088.224    2989.329   -0.7975686    3.277313    -161.5586   
 236    9.833333   -47277.55    2083.066     2989.29   -0.7930011     3.27981    -161.5556   
 237       9.875   -47275.89    2077.814    2989.253   -0.788808    3.282237    -161.5517   
 238    9.916667   -47274.17    2072.387    2989.216   -0.7853259     3.28508    -161.5483   
 239    9.958333   -47272.45    2066.952    2989.167   -0.781753    3.287923    -161.5455   
 240          10   -47270.78    2061.708    2989.096   -0.7779565    3.290324    -161.5431   
 241    10.04167   -47269.14    2056.536    2989.024   -0.7750872     3.29259    -161.5408   
 242    10.08333    -47267.5     2051.34    2988.971   -0.7726528    3.294921    -161.5385   
 243      10.125   -47265.87     2046.21    2988.932   -0.7691022    3.297227    -161.5362   
 244    10.16667   -47264.22    2041.019    2988.893   -0.7647023    3.300485    -161.5329   
 245    10.20833   -47262.66    2036.085    2988.859   -0.7606177    3.304316    -161.5291   
 246       10.25   -47261.11    2031.202    2988.831   -0.7573786     3.30758    -161.5258   
 247    10.29167   -47259.36    2025.698    2988.792   -0.754591    3.310362     -161.523   
 248    10.33333   -47257.53    2019.919    2988.747   -0.7522467    3.312691    -161.5207   
 249      10.375    -47255.9     2014.78    2988.708   -0.748997    3.315466    -161.5184   
 250    10.41667   -47254.46    2010.235    2988.677   -0.7430634    3.319454    -161.5161   
 251    10.45833   -47252.94    2005.454    2988.643   -0.7346067    3.323815    -161.5139   
 252        10.5    -47251.3    2000.278    2988.604   -0.7243265    3.327231    -161.5115   
 253    10.54167   -47249.67    1995.131    2988.571   -0.7119915    3.329634    -161.5093   
 254    10.58333   -47247.99    1989.863    2988.539   -0.6966653     3.33285     -161.507   
 255      10.625   -47246.27     1984.45      2988.5   -0.6767466    3.337057    -161.5052   
 256    10.66667   -47244.55    1979.034    2988.457   -0.6524871    3.340409    -161.5036   
 257    10.70833    -47242.9    1973.826    2988.421   -0.6241844    3.343586    -161.5015   
 258       10.75   -47241.25    1968.638     2988.39    -0.59208    3.347256    -161.4992   
 259    10.79167   -47239.65    1963.588    2988.354   -0.5568119    3.350178    -161.4969   
 260    10.83333   -47238.19    1958.995    2988.316   -0.5198109    3.352596    -161.4947   
 261      10.875   -47236.71    1954.336    2988.284   -0.4813382    3.356078    -161.4936   
 262    10.91667   -47235.08    1949.225    2988.257   -0.4394817    3.360442    -161.4926   
 263    10.95833   -47233.36    1943.825    2988.217   -0.3931566    3.364529    -161.4906   
 264          11   -47231.48    1937.911    2988.151   -0.3399221    3.367905    -161.4888   
 265    11.04167    -47229.6     1931.99    2988.087   -0.2854738    3.371583    -161.4872   
 266    11.08333   -47227.91    1926.663    2988.043   -0.2341871     3.37596     -161.485   
 267      11.125   -47226.27    1921.505    2988.004   -0.1836183    3.380542    -161.4832   
 268    11.16667   -47224.62    1916.314    2987.967   -0.1317344    3.385116    -161.4823   
 269    11.20833   -47222.98    1911.166    2987.935   -0.07911801    3.389673    -161.4809   
 270       11.25   -47221.33    1905.971    2987.902   -0.02657767    3.394294    -161.4787   
 271    11.29167   -47219.76    1901.042    2987.866   0.02687066    3.399465    -161.4773   
 272    11.33333   -47218.21    1896.173    2987.831   0.08126149    3.405291    -161.4771   
 273      11.375   -47216.58    1891.037    2987.794   0.1349991    3.410619     -161.477   
 274    11.41667   -47214.95    1885.906     2987.76   0.1868358    3.415293    -161.4762   
 275    11.45833   -47213.31    1880.732    2987.733   0.2378235     3.41983    -161.4742   
 276        11.5   -47211.67    1875.582    2987.705   0.2895968    3.424375    -161.4723   
 277    11.54167   -47210.04    1870.445     2987.67   0.3419737    3.428937    -161.4716   
 278    11.58333   -47208.42     1865.34    2987.632   0.3933872    3.433323    -161.4716   
 279      11.625   -47206.93    1860.669    2987.599   0.4417364    3.436874    -161.4716   
 280    11.66667   -47205.39    1855.832    2987.567   0.4895997     3.43991    -161.4719   
 281    11.70833   -47203.56    1850.048    2987.527   0.5433312    3.444074    -161.4731   
 282       11.75    -47201.7    1844.188    2987.485   0.5951142    3.448857    -161.4753   
 283    11.79167   -47200.03    1838.915     2987.45   0.6410228    3.453469    -161.4768   
 284    11.83333   -47198.38    1833.742    2987.422   0.6840204    3.458019    -161.4777   
 285      11.875   -47196.73    1828.556    2987.393   0.7257089    3.462588    -161.4794   
 286    11.91667    -47195.1    1823.401    2987.356   0.7665888    3.467168    -161.4817   
 287    11.95833   -47193.45    1818.218    2987.303   0.8062211    3.471652    -161.4839   
 288          12    -47191.9    1813.316    2987.242   0.8436464    3.475532    -161.4865   
 289    12.04167   -47190.35    1808.433    2987.192   0.8786532    3.478822    -161.4896   
 290    12.08333   -47188.72    1803.306    2987.157   0.9115633    3.482697    -161.4934   
 291      12.125    -47187.1    1798.192    2987.124   0.9434785    3.487174     -161.497   
 292    12.16667   -47185.45    1793.013    2987.086   0.9745831    3.491739    -161.5002   
 293    12.20833   -47183.83    1787.887    2987.051    1.003931    3.496282    -161.5044   
 294       12.25   -47182.16    1782.614     2987.02    1.031656    3.500499    -161.5089   
 295    12.29167   -47180.33    1776.868    2986.986    1.058748    3.503585    -161.5135   
 296    12.33333   -47178.55    1771.248    2986.948    1.084778    3.506004    -161.5194   
 297      12.375   -47176.98    1766.269    2986.916    1.108415    3.509892    -161.5258   
 298    12.41667   -47175.44    1761.413    2986.888    1.130186     3.51544    -161.5319   
 299    12.45833   -47173.81    1756.284    2986.854    1.152206    3.520736    -161.5372   
 300        12.5   -47172.19    1751.168    2986.821    1.174805    3.525388    -161.5428   
 301    12.54167   -47170.56    1745.996    2986.793    1.196898    3.529918      -161.55   
 302    12.58333   -47168.92    1740.838    2986.765    1.217785    3.534457    -161.5582   
 303      12.625   -47167.29    1735.673    2986.731    1.238142    3.539153     -161.566   
 304    12.66667   -47165.63    1730.444    2986.695    1.257893    3.544388    -161.5745   
 305    12.70833   -47164.03    1725.364    2986.663    1.275931    3.549966    -161.5843   
 306       12.75   -47162.42    1720.283    2986.633    1.293361     3.55535    -161.5936   
 307    12.79167   -47160.74    1714.989    2986.604    1.311651    3.560575    -161.6028   
 308    12.83333   -47159.03     1709.57    2986.575    1.329686    3.565902    -161.6121   
 309      12.875   -47157.44    1704.519    2986.548     1.34688    3.572194    -161.6209   
 310    12.91667   -47155.84    1699.461    2986.516    1.365644    3.578744    -161.6297   
 311    12.95833   -47154.12    1694.042    2986.484    1.384214    3.584583    -161.6394   
 312          13   -47152.34    1688.475    2986.453    1.400774    3.590673    -161.6491   
 313    13.04167   -47150.72    1683.411    2986.424    1.417066    3.597516    -161.6582   
 314    13.08333   -47149.22     1678.67    2986.399    1.434455    3.603896    -161.6679   
 315      13.125   -47147.51    1673.238     2986.37    1.451431    3.609853    -161.6784   
 316    13.16667   -47145.64    1667.292    2986.333    1.467541     3.61655     -161.689   
 317    13.20833   -47143.96    1661.966      2986.3    1.485664    3.623285    -161.6995   
