# Img   rel_time   rel_X   rel_Y   rel_Z   roll   pitch   yaw
214    8.900764   -47313.99    2198.335    2990.219   -0.8349609    3.218994    161.6144   
215    8.950764   -47312.42    2193.365    2990.188   -0.8404541    3.218994    161.6144   
216    9.000766   -47310.07     2185.86    2990.031   -0.8404541    3.224487    161.6089   
217    9.050764   -47308.51     2180.89        2990   -0.8404541     3.22998    161.6034   
219    9.100764   -47306.15    2173.431    2989.938   -0.8404541     3.22998    161.6034   
220    9.150892   -47304.57    2168.461    2989.906   -0.8459473    3.235474    161.5979   
221     9.17589      -47303    2163.491    2989.875   -0.8459473    3.240967    161.5979   
222    9.225891   -47301.44    2158.521    2989.844   -0.8459473    3.240967    161.5924   
223    9.275892   -47299.07    2151.062    2989.781   -0.8459473     3.24646    161.5924   
224    9.325894    -47297.5    2146.092     2989.75   -0.8459473     3.24646    161.5869   
225    9.376016   -47295.14    2138.632    2989.688   -0.8404541    3.251953    161.5869   
226    9.426017   -47293.57    2133.653    2989.656   -0.8404541    3.257446    161.5814   
228    9.476141   -47291.21    2126.194    2989.594   -0.8349609    3.257446    161.5814   
229    9.526142   -47289.64    2121.224    2989.562   -0.8294678    3.257446    161.5759   
230    9.551266   -47288.85    2118.744    2989.531   -0.8239746    3.257446    161.5759   
231    9.601266   -47286.49    2111.284      2989.5   -0.8184814    3.262939    161.5704   
232    9.651267   -47284.91    2106.305    2989.469   -0.8129883    3.268433    161.5649   
233    9.701265   -47282.55    2098.845    2989.406   -0.8074951    3.268433    161.5649   
234    9.751267   -47280.98    2093.875    2989.375   -0.802002    3.273926    161.5594   
235    9.801392   -47278.61    2086.416    2989.312   -0.7965088    3.279419    161.5594   
237    9.851391   -47277.04    2081.437    2989.281   -0.7910156    3.279419     161.554   
238    9.901391   -47274.67    2073.977    2989.219   -0.7855225    3.284912    161.5485   
239    9.926399   -47273.89    2071.497    2989.219   -0.7855225    3.284912    161.5485   
240     9.97639   -47271.52    2064.037    2989.156   -0.7800293    3.290405     161.543   
241     10.0264   -47269.93     2059.02    2989.031   -0.7745361    3.290405     161.543   
242    10.07677   -47267.57    2051.561    2988.969   -0.7745361    3.295898    161.5375   
243    10.12677   -47265.99    2046.591    2988.938   -0.769043    3.295898    161.5375   
244    10.17689   -47263.62    2039.122    2988.875   -0.7635498    3.301392     161.532   
